Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations	Solve_time
GMG	IfPack-Schwarz	0	8	2	0	16	0.27299
GMG	IfPack-Schwarz	0	64	4	0	97	0.499038
GMG	IfPack-Schwarz	0	512	8	0	202	1.22148
GMG	IfPack-Schwarz	0	4096	16	0	292	14.7905
GMG	IfPack-Schwarz	1	8	2	0	18	0.296688
GMG	IfPack-Schwarz	1	64	4	0	40	0.408228
GMG	IfPack-Schwarz	1	512	8	0	59	0.667282
GMG	IfPack-Schwarz	1	4096	16	0	68	5.77892
GMG	Camellia-Schwarz	0	8	2	0	4	0.261349
GMG	Camellia-Schwarz	0	64	4	0	19	0.321862
GMG	Camellia-Schwarz	0	512	8	0	93	0.754145
GMG	Camellia-Schwarz	0	4096	16	0	166	9.70512
GMG	Camellia-Schwarz	1	8	2	0	4	0.287142
GMG	Camellia-Schwarz	1	64	4	0	18	0.388113
GMG	Camellia-Schwarz	1	512	8	0	32	0.615276
GMG	Camellia-Schwarz	1	4096	16	0	43	4.78068
GMG	Point-Gauss-Seidel	0	8	2	0	56	0.339235
GMG	Point-Gauss-Seidel	0	64	4	0	149	0.631557
GMG	Point-Gauss-Seidel	0	512	8	0	263	1.39402
GMG	Point-Gauss-Seidel	0	4096	16	0	344	16.9874
GMG	Point-Jacobi	0	8	2	0	4	0.230694
GMG	Point-Jacobi	0	64	4	0	23	0.298813
GMG	Point-Jacobi	0	512	8	0	104	0.746609
GMG	Point-Jacobi	0	4096	16	0	175	9.98747
