Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations	Solve_time
GMG	IfPack-Schwarz	0	2	2	0	8	0.0518386
GMG	IfPack-Schwarz	0	4	4	0	12	0.0615575
GMG	IfPack-Schwarz	0	8	8	0	16	0.0677251
GMG	IfPack-Schwarz	0	16	16	0	18	0.0722098
GMG	IfPack-Schwarz	0	32	32	0	19	0.0759993
GMG	IfPack-Schwarz	0	64	64	0	19	0.0840139
GMG	IfPack-Schwarz	0	128	128	0	19	0.100652
GMG	IfPack-Schwarz	0	256	256	0	19	0.156879
GMG	IfPack-Schwarz	0	512	512	0	19	0.277484
GMG	IfPack-Schwarz	1	2	2	0	8	0.0613085
GMG	IfPack-Schwarz	1	4	4	0	13	0.0749736
GMG	IfPack-Schwarz	1	8	8	0	18	0.083317
GMG	IfPack-Schwarz	1	16	16	0	21	0.0896651
GMG	IfPack-Schwarz	1	32	32	0	24	0.0973789
GMG	IfPack-Schwarz	1	64	64	0	25	0.106345
GMG	IfPack-Schwarz	1	128	128	0	25	0.126486
GMG	IfPack-Schwarz	1	256	256	0	25	0.193625
GMG	IfPack-Schwarz	1	512	512	0	25	0.339723
GMG	IfPack-Schwarz	2	2	2	0	2	0.0584829
GMG	IfPack-Schwarz	2	4	4	0	11	0.0779502
GMG	IfPack-Schwarz	2	8	8	0	16	0.0865559
GMG	IfPack-Schwarz	2	16	16	0	19	0.0924126
GMG	IfPack-Schwarz	2	32	32	0	24	0.103654
GMG	IfPack-Schwarz	2	64	64	0	28	0.117612
GMG	IfPack-Schwarz	2	128	128	0	30	0.143057
GMG	IfPack-Schwarz	2	256	256	0	30	0.214917
GMG	IfPack-Schwarz	2	512	512	0	31	0.39479
GMG	Camellia-Schwarz	0	2	2	0	4	0.0573137
GMG	Camellia-Schwarz	0	4	4	0	8	0.067546
GMG	Camellia-Schwarz	0	8	8	0	11	0.0728025
GMG	Camellia-Schwarz	0	16	16	0	16	0.0816688
GMG	Camellia-Schwarz	0	32	32	0	22	0.0937025
GMG	Camellia-Schwarz	0	64	64	0	22	0.100578
GMG	Camellia-Schwarz	0	128	128	0	22	0.119755
GMG	Camellia-Schwarz	0	256	256	0	22	0.179519
GMG	Camellia-Schwarz	0	512	512	0	22	0.318653
GMG	Camellia-Schwarz	1	2	2	0	2	0.0595635
GMG	Camellia-Schwarz	1	4	4	0	7	0.0724521
GMG	Camellia-Schwarz	1	8	8	0	12	0.0812368
GMG	Camellia-Schwarz	1	16	16	0	15	0.0866937
GMG	Camellia-Schwarz	1	32	32	0	19	0.0962429
GMG	Camellia-Schwarz	1	64	64	0	25	0.112554
GMG	Camellia-Schwarz	1	128	128	0	27	0.136928
GMG	Camellia-Schwarz	1	256	256	0	28	0.206985
GMG	Camellia-Schwarz	1	512	512	0	28	0.371445
GMG	Camellia-Schwarz	2	2	2	0	2	0.0624095
GMG	Camellia-Schwarz	2	4	4	0	6	0.0757584
GMG	Camellia-Schwarz	2	8	8	0	12	0.0869481
GMG	Camellia-Schwarz	2	16	16	0	15	0.0931838
GMG	Camellia-Schwarz	2	32	32	0	18	0.100737
GMG	Camellia-Schwarz	2	64	64	0	23	0.116318
GMG	Camellia-Schwarz	2	128	128	0	32	0.154831
GMG	Camellia-Schwarz	2	256	256	0	32	0.225975
GMG	Camellia-Schwarz	2	512	512	0	33	0.418823
GMG	Point-Gauss-Seidel	0	2	2	0	8	0.0518155
GMG	Point-Gauss-Seidel	0	4	4	0	11	0.0617853
GMG	Point-Gauss-Seidel	0	8	8	0	17	0.0706138
GMG	Point-Gauss-Seidel	0	16	16	0	18	0.0733293
GMG	Point-Gauss-Seidel	0	32	32	0	19	0.077261
GMG	Point-Gauss-Seidel	0	64	64	0	19	0.0847644
GMG	Point-Gauss-Seidel	0	128	128	0	19	0.102211
GMG	Point-Gauss-Seidel	0	256	256	0	19	0.158638
GMG	Point-Gauss-Seidel	0	512	512	0	19	0.280766
GMG	Point-Jacobi	0	2	2	0	4	0.0471992
GMG	Point-Jacobi	0	4	4	0	8	0.0566738
GMG	Point-Jacobi	0	8	8	0	11	0.0614564
GMG	Point-Jacobi	0	16	16	0	17	0.0701011
GMG	Point-Jacobi	0	32	32	0	18	0.0743365
GMG	Point-Jacobi	0	64	64	0	19	0.0824886
GMG	Point-Jacobi	0	128	128	0	19	0.0997737
GMG	Point-Jacobi	0	256	256	0	19	0.158427
GMG	Point-Jacobi	0	512	512	0	19	0.280612
