Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations	Solve_time
GMG	IfPack-Schwarz	0	16	4	0	86	0.454776
GMG	IfPack-Schwarz	0	64	8	0	158	0.740713
GMG	IfPack-Schwarz	0	256	16	0	245	1.59579
GMG	IfPack-Schwarz	0	1024	32	0	296	7.19317
GMG	IfPack-Schwarz	0	4096	64	0	347	54.7475
GMG	IfPack-Schwarz	1	16	4	0	42	0.40422
GMG	IfPack-Schwarz	1	64	8	0	62	0.51751
GMG	IfPack-Schwarz	1	256	16	0	72	0.85108
GMG	IfPack-Schwarz	1	1024	32	0	77	3.48666
GMG	IfPack-Schwarz	1	4096	64	0	78	15.5426
GMG	IfPack-Schwarz	2	16	4	0	26	0.431195
GMG	IfPack-Schwarz	2	64	8	0	46	0.591201
GMG	IfPack-Schwarz	2	256	16	0	61	0.943432
GMG	IfPack-Schwarz	2	1024	32	0	76	3.57633
GMG	IfPack-Schwarz	2	4096	64	0	85	16.7332
GMG	Camellia-Schwarz	0	16	4	0	64	0.440336
GMG	Camellia-Schwarz	0	64	8	0	112	0.637684
GMG	Camellia-Schwarz	0	256	16	0	162	1.26698
GMG	Camellia-Schwarz	0	1024	32	0	205	5.70977
GMG	Camellia-Schwarz	0	4096	64	0	229	37.3572
GMG	Camellia-Schwarz	1	16	4	0	30	0.405645
GMG	Camellia-Schwarz	1	64	8	0	47	0.513346
GMG	Camellia-Schwarz	1	256	16	0	57	0.81877
GMG	Camellia-Schwarz	1	1024	32	0	64	3.30253
GMG	Camellia-Schwarz	1	4096	64	0	71	14.7124
GMG	Camellia-Schwarz	2	16	4	0	21	0.447282
GMG	Camellia-Schwarz	2	64	8	0	37	0.617782
GMG	Camellia-Schwarz	2	256	16	0	53	0.970122
GMG	Camellia-Schwarz	2	1024	32	0	69	3.51654
GMG	Camellia-Schwarz	2	4096	64	0	84	16.7965
GMG	Point-Gauss-Seidel	0	16	4	0	88	0.473547
GMG	Point-Gauss-Seidel	0	64	8	0	152	0.727591
GMG	Point-Gauss-Seidel	0	256	16	0	213	1.48948
GMG	Point-Gauss-Seidel	0	1024	32	0	253	6.46879
GMG	Point-Gauss-Seidel	0	4096	64	0	275	43.2234
GMG	Point-Jacobi	0	16	4	0	93	0.470831
GMG	Point-Jacobi	0	64	8	0	142	0.671736
GMG	Point-Jacobi	0	256	16	0	184	1.31361
GMG	Point-Jacobi	0	1024	32	0	211	5.82056
GMG	Point-Jacobi	0	4096	64	0	229	36.4727
