Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations
Schwarz(geometric)	-	1	4	2	1	5
Schwarz(geometric)	-	1	4	2	2	5
Schwarz(geometric)	-	1	4	2	4	6
Schwarz(geometric)	-	1	16	4	1	17
Schwarz(geometric)	-	1	16	4	2	19
Schwarz(geometric)	-	1	16	4	4	19
Schwarz(geometric)	-	1	64	8	1	27
Schwarz(geometric)	-	1	64	8	2	27
Schwarz(geometric)	-	1	64	8	4	27
Schwarz(geometric)	-	1	256	16	1	37
Schwarz(geometric)	-	1	256	16	2	37
Schwarz(geometric)	-	1	256	16	4	38
Schwarz(geometric)	-	2	4	2	1	1
Schwarz(geometric)	-	2	4	2	2	1
Schwarz(geometric)	-	2	4	2	4	1
Schwarz(geometric)	-	2	16	4	1	14
Schwarz(geometric)	-	2	16	4	2	15
Schwarz(geometric)	-	2	16	4	4	15
Schwarz(geometric)	-	2	64	8	1	22
Schwarz(geometric)	-	2	64	8	2	23
Schwarz(geometric)	-	2	64	8	4	23
Schwarz(geometric)	-	2	256	16	1	27
Schwarz(geometric)	-	2	256	16	2	27
Schwarz(geometric)	-	2	256	16	4	28
