Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations
None	None	0	8	2	1	730
None	None	0	8	2	2	2353
None	None	0	64	4	1	2055
None	None	0	64	4	2	6157
None	None	0	512	8	1	4339
None	None	0	512	8	2	13925
GMG	Schwarz(algebraic)	0	8	2	1	71
GMG	Schwarz(algebraic)	0	8	2	2	106
GMG	Schwarz(algebraic)	0	64	4	1	104
GMG	Schwarz(algebraic)	0	64	4	2	148
GMG	Schwarz(algebraic)	0	512	8	1	124
GMG	Schwarz(algebraic)	0	512	8	2	168
GMG	Schwarz(algebraic)	1	8	2	1	43
GMG	Schwarz(algebraic)	1	8	2	2	50
GMG	Schwarz(algebraic)	1	64	4	1	98
GMG	Schwarz(algebraic)	1	64	4	2	115
GMG	Schwarz(algebraic)	1	512	8	1	138
GMG	Schwarz(algebraic)	1	512	8	2	169
GMG	Schwarz(geometric)	0	8	2	1	60
GMG	Schwarz(geometric)	0	8	2	2	85
GMG	Schwarz(geometric)	0	64	4	1	99
GMG	Schwarz(geometric)	0	64	4	2	136
GMG	Schwarz(geometric)	0	512	8	1	120
GMG	Schwarz(geometric)	0	512	8	2	163
GMG	Schwarz(geometric)	1	8	2	1	26
GMG	Schwarz(geometric)	1	8	2	2	30
GMG	Schwarz(geometric)	1	64	4	1	71
GMG	Schwarz(geometric)	1	64	4	2	80
GMG	Schwarz(geometric)	1	512	8	1	112
GMG	Schwarz(geometric)	1	512	8	2	127
Schwarz(algebraic)	-	0	8	2	1	107
Schwarz(algebraic)	-	0	8	2	2	153
Schwarz(algebraic)	-	0	64	4	1	398
Schwarz(algebraic)	-	0	64	4	2	513
Schwarz(algebraic)	-	0	512	8	1	1175
Schwarz(algebraic)	-	0	512	8	2	1442
Schwarz(algebraic)	-	1	8	2	1	44
Schwarz(algebraic)	-	1	8	2	2	51
Schwarz(algebraic)	-	1	64	4	1	133
Schwarz(algebraic)	-	1	64	4	2	146
Schwarz(algebraic)	-	1	512	8	1	305
Schwarz(algebraic)	-	1	512	8	2	322
Schwarz(geometric)	-	0	8	2	1	73
Schwarz(geometric)	-	0	8	2	2	105
Schwarz(geometric)	-	0	64	4	1	261
Schwarz(geometric)	-	0	64	4	2	332
Schwarz(geometric)	-	0	512	8	1	716
Schwarz(geometric)	-	0	512	8	2	835
Schwarz(geometric)	-	1	8	2	1	25
Schwarz(geometric)	-	1	8	2	2	29
Schwarz(geometric)	-	1	64	4	1	88
Schwarz(geometric)	-	1	64	4	2	92
Schwarz(geometric)	-	1	512	8	1	188
Schwarz(geometric)	-	1	512	8	2	195
