Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations
None	None	0	8	2	1	622
None	None	0	8	2	2	1791
None	None	0	64	4	1	1684
None	None	0	64	4	2	4546
None	None	0	512	8	1	3596
None	None	0	512	8	2	6137
GMG	Schwarz(algebraic)	0	8	2	1	72
GMG	Schwarz(algebraic)	0	8	2	2	105
GMG	Schwarz(algebraic)	0	64	4	1	106
GMG	Schwarz(algebraic)	0	64	4	2	144
GMG	Schwarz(algebraic)	0	512	8	1	135
GMG	Schwarz(algebraic)	0	512	8	2	186
GMG	Schwarz(algebraic)	1	8	2	1	29
GMG	Schwarz(algebraic)	1	8	2	2	29
GMG	Schwarz(algebraic)	1	64	4	1	91
GMG	Schwarz(algebraic)	1	64	4	2	98
GMG	Schwarz(algebraic)	1	512	8	1	141
GMG	Schwarz(algebraic)	1	512	8	2	162
GMG	Schwarz(geometric)	0	8	2	1	67
GMG	Schwarz(geometric)	0	8	2	2	92
GMG	Schwarz(geometric)	0	64	4	1	122
GMG	Schwarz(geometric)	0	64	4	2	156
GMG	Schwarz(geometric)	0	512	8	1	147
GMG	Schwarz(geometric)	0	512	8	2	185
GMG	Schwarz(geometric)	1	8	2	1	28
GMG	Schwarz(geometric)	1	8	2	2	31
GMG	Schwarz(geometric)	1	64	4	1	81
GMG	Schwarz(geometric)	1	64	4	2	88
GMG	Schwarz(geometric)	1	512	8	1	133
GMG	Schwarz(geometric)	1	512	8	2	145
Schwarz(algebraic)	-	0	8	2	1	111
Schwarz(algebraic)	-	0	8	2	2	155
Schwarz(algebraic)	-	0	64	4	1	427
Schwarz(algebraic)	-	0	64	4	2	517
Schwarz(algebraic)	-	0	512	8	1	1259
Schwarz(algebraic)	-	0	512	8	2	1450
Schwarz(algebraic)	-	1	8	2	1	24
Schwarz(algebraic)	-	1	8	2	2	24
Schwarz(algebraic)	-	1	64	4	1	109
Schwarz(algebraic)	-	1	64	4	2	114
Schwarz(algebraic)	-	1	512	8	1	238
Schwarz(algebraic)	-	1	512	8	2	244
Schwarz(geometric)	-	0	8	2	1	87
Schwarz(geometric)	-	0	8	2	2	123
Schwarz(geometric)	-	0	64	4	1	320
Schwarz(geometric)	-	0	64	4	2	406
Schwarz(geometric)	-	0	512	8	1	831
Schwarz(geometric)	-	0	512	8	2	980
Schwarz(geometric)	-	1	8	2	1	26
Schwarz(geometric)	-	1	8	2	2	30
Schwarz(geometric)	-	1	64	4	1	98
Schwarz(geometric)	-	1	64	4	2	106
Schwarz(geometric)	-	1	512	8	1	220
Schwarz(geometric)	-	1	512	8	2	224
