Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations
None	None	0	4	2	1	24
None	None	0	4	2	2	75
None	None	0	4	2	4	311
None	None	0	16	4	1	222
None	None	0	16	4	2	482
None	None	0	16	4	4	1399
None	None	0	64	8	1	726
None	None	0	64	8	2	1454
None	None	0	64	8	4	3472
None	None	0	256	16	1	1538
None	None	0	256	16	2	2954
None	None	0	256	16	4	7271
GMG	Schwarz(algebraic)	0	4	2	1	20
GMG	Schwarz(algebraic)	0	4	2	2	26
GMG	Schwarz(algebraic)	0	4	2	4	33
GMG	Schwarz(algebraic)	0	16	4	1	36
GMG	Schwarz(algebraic)	0	16	4	2	43
GMG	Schwarz(algebraic)	0	16	4	4	55
GMG	Schwarz(algebraic)	0	64	8	1	42
GMG	Schwarz(algebraic)	0	64	8	2	49
GMG	Schwarz(algebraic)	0	64	8	4	60
GMG	Schwarz(algebraic)	0	256	16	1	45
GMG	Schwarz(algebraic)	0	256	16	2	50
GMG	Schwarz(algebraic)	0	256	16	4	61
GMG	Schwarz(algebraic)	1	4	2	1	19
GMG	Schwarz(algebraic)	1	4	2	2	19
GMG	Schwarz(algebraic)	1	4	2	4	20
GMG	Schwarz(algebraic)	1	16	4	1	30
GMG	Schwarz(algebraic)	1	16	4	2	31
GMG	Schwarz(algebraic)	1	16	4	4	32
GMG	Schwarz(algebraic)	1	64	8	1	38
GMG	Schwarz(algebraic)	1	64	8	2	39
GMG	Schwarz(algebraic)	1	64	8	4	41
GMG	Schwarz(algebraic)	1	256	16	1	47
GMG	Schwarz(algebraic)	1	256	16	2	49
GMG	Schwarz(algebraic)	1	256	16	4	51
GMG	Schwarz(algebraic)	2	4	2	1	8
GMG	Schwarz(algebraic)	2	4	2	2	8
GMG	Schwarz(algebraic)	2	4	2	4	8
GMG	Schwarz(algebraic)	2	16	4	1	22
GMG	Schwarz(algebraic)	2	16	4	2	22
GMG	Schwarz(algebraic)	2	16	4	4	23
GMG	Schwarz(algebraic)	2	64	8	1	30
GMG	Schwarz(algebraic)	2	64	8	2	30
GMG	Schwarz(algebraic)	2	64	8	4	30
GMG	Schwarz(algebraic)	2	256	16	1	40
GMG	Schwarz(algebraic)	2	256	16	2	40
GMG	Schwarz(algebraic)	2	256	16	4	40
GMG	Schwarz(geometric)	0	4	2	1	9
GMG	Schwarz(geometric)	0	4	2	2	11
GMG	Schwarz(geometric)	0	4	2	4	14
GMG	Schwarz(geometric)	0	16	4	1	23
GMG	Schwarz(geometric)	0	16	4	2	28
GMG	Schwarz(geometric)	0	16	4	4	32
GMG	Schwarz(geometric)	0	64	8	1	37
GMG	Schwarz(geometric)	0	64	8	2	44
GMG	Schwarz(geometric)	0	64	8	4	53
GMG	Schwarz(geometric)	0	256	16	1	44
GMG	Schwarz(geometric)	0	256	16	2	51
GMG	Schwarz(geometric)	0	256	16	4	58
GMG	Schwarz(geometric)	1	4	2	1	7
GMG	Schwarz(geometric)	1	4	2	2	8
GMG	Schwarz(geometric)	1	4	2	4	8
GMG	Schwarz(geometric)	1	16	4	1	17
GMG	Schwarz(geometric)	1	16	4	2	18
GMG	Schwarz(geometric)	1	16	4	4	19
GMG	Schwarz(geometric)	1	64	8	1	24
GMG	Schwarz(geometric)	1	64	8	2	25
GMG	Schwarz(geometric)	1	64	8	4	26
GMG	Schwarz(geometric)	1	256	16	1	33
GMG	Schwarz(geometric)	1	256	16	2	33
GMG	Schwarz(geometric)	1	256	16	4	33
GMG	Schwarz(geometric)	2	4	2	1	2
GMG	Schwarz(geometric)	2	4	2	2	2
GMG	Schwarz(geometric)	2	4	2	4	2
GMG	Schwarz(geometric)	2	16	4	1	15
GMG	Schwarz(geometric)	2	16	4	2	15
GMG	Schwarz(geometric)	2	16	4	4	16
GMG	Schwarz(geometric)	2	64	8	1	22
GMG	Schwarz(geometric)	2	64	8	2	22
GMG	Schwarz(geometric)	2	64	8	4	22
GMG	Schwarz(geometric)	2	256	16	1	27
GMG	Schwarz(geometric)	2	256	16	2	27
GMG	Schwarz(geometric)	2	256	16	4	27
Schwarz(algebraic)	-	0	4	2	1	16
Schwarz(algebraic)	-	0	4	2	2	22
Schwarz(algebraic)	-	0	4	2	4	30
Schwarz(algebraic)	-	0	16	4	1	74
Schwarz(algebraic)	-	0	16	4	2	88
Schwarz(algebraic)	-	0	16	4	4	102
Schwarz(algebraic)	-	0	64	8	1	177
Schwarz(algebraic)	-	0	64	8	2	212
Schwarz(algebraic)	-	0	64	8	4	240
Schwarz(algebraic)	-	0	256	16	1	343
Schwarz(algebraic)	-	0	256	16	2	414
Schwarz(algebraic)	-	0	256	16	4	469
Schwarz(algebraic)	-	1	4	2	1	14
Schwarz(algebraic)	-	1	4	2	2	16
Schwarz(algebraic)	-	1	4	2	4	18
Schwarz(algebraic)	-	1	16	4	1	32
Schwarz(algebraic)	-	1	16	4	2	33
Schwarz(algebraic)	-	1	16	4	4	33
Schwarz(algebraic)	-	1	64	8	1	57
Schwarz(algebraic)	-	1	64	8	2	56
Schwarz(algebraic)	-	1	64	8	4	57
Schwarz(algebraic)	-	1	256	16	1	109
Schwarz(algebraic)	-	1	256	16	2	103
Schwarz(algebraic)	-	1	256	16	4	102
Schwarz(algebraic)	-	2	4	2	1	2
Schwarz(algebraic)	-	2	4	2	2	2
Schwarz(algebraic)	-	2	4	2	4	2
Schwarz(algebraic)	-	2	16	4	1	21
Schwarz(algebraic)	-	2	16	4	2	21
Schwarz(algebraic)	-	2	16	4	4	21
Schwarz(algebraic)	-	2	64	8	1	32
Schwarz(algebraic)	-	2	64	8	2	32
Schwarz(algebraic)	-	2	64	8	4	32
Schwarz(algebraic)	-	2	256	16	1	50
Schwarz(algebraic)	-	2	256	16	2	50
Schwarz(algebraic)	-	2	256	16	4	50
Schwarz(geometric)	-	0	4	2	1	7
Schwarz(geometric)	-	0	4	2	2	9
Schwarz(geometric)	-	0	4	2	4	12
Schwarz(geometric)	-	0	16	4	1	23
Schwarz(geometric)	-	0	16	4	2	29
Schwarz(geometric)	-	0	16	4	4	33
Schwarz(geometric)	-	0	64	8	1	70
Schwarz(geometric)	-	0	64	8	2	79
Schwarz(geometric)	-	0	64	8	4	94
Schwarz(geometric)	-	0	256	16	1	198
Schwarz(geometric)	-	0	256	16	2	231
Schwarz(geometric)	-	0	256	16	4	273
Schwarz(geometric)	-	1	4	2	1	5
Schwarz(geometric)	-	1	4	2	2	5
Schwarz(geometric)	-	1	4	2	4	6
Schwarz(geometric)	-	1	16	4	1	17
Schwarz(geometric)	-	1	16	4	2	17
Schwarz(geometric)	-	1	16	4	4	19
Schwarz(geometric)	-	1	64	8	1	25
Schwarz(geometric)	-	1	64	8	2	25
Schwarz(geometric)	-	1	64	8	4	26
Schwarz(geometric)	-	1	256	16	1	38
Schwarz(geometric)	-	1	256	16	2	38
Schwarz(geometric)	-	1	256	16	4	39
Schwarz(geometric)	-	2	4	2	1	1
Schwarz(geometric)	-	2	4	2	2	1
Schwarz(geometric)	-	2	4	2	4	1
Schwarz(geometric)	-	2	16	4	1	14
Schwarz(geometric)	-	2	16	4	2	14
Schwarz(geometric)	-	2	16	4	4	15
Schwarz(geometric)	-	2	64	8	1	21
Schwarz(geometric)	-	2	64	8	2	21
Schwarz(geometric)	-	2	64	8	4	22
Schwarz(geometric)	-	2	256	16	1	29
Schwarz(geometric)	-	2	256	16	2	28
Schwarz(geometric)	-	2	256	16	4	28
