Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations
None	None	0	2	2	1	7
None	None	0	2	2	2	11
None	None	0	2	2	4	17
None	None	0	2	2	8	30
None	None	0	2	2	16	48
None	None	0	4	4	1	19
None	None	0	4	4	2	25
None	None	0	4	4	4	38
None	None	0	4	4	8	56
None	None	0	4	4	16	70
None	None	0	8	8	1	33
None	None	0	8	8	2	48
None	None	0	8	8	4	70
None	None	0	8	8	8	99
None	None	0	8	8	16	133
None	None	0	16	16	1	67
None	None	0	16	16	2	91
None	None	0	16	16	4	145
None	None	0	16	16	8	191
None	None	0	16	16	16	276
None	None	0	32	32	1	140
None	None	0	32	32	2	195
None	None	0	32	32	4	285
None	None	0	32	32	8	399
None	None	0	32	32	16	578
None	None	0	64	64	1	297
None	None	0	64	64	2	392
None	None	0	64	64	4	578
None	None	0	64	64	8	811
None	None	0	64	64	16	1163
None	None	0	128	128	1	571
None	None	0	128	128	2	794
None	None	0	128	128	4	1169
None	None	0	128	128	8	1651
None	None	0	128	128	16	2564
None	None	0	256	256	1	1237
None	None	0	256	256	2	1708
None	None	0	256	256	4	2501
None	None	0	256	256	8	3766
None	None	0	256	256	16	5605
None	None	0	512	512	1	2555
None	None	0	512	512	2	3988
None	None	0	512	512	4	5629
None	None	0	512	512	8	8023
None	None	0	512	512	16	12519
GMG	Schwarz(algebraic)	0	2	2	1	8
GMG	Schwarz(algebraic)	0	2	2	2	8
GMG	Schwarz(algebraic)	0	2	2	4	8
GMG	Schwarz(algebraic)	0	2	2	8	8
GMG	Schwarz(algebraic)	0	2	2	16	8
GMG	Schwarz(algebraic)	0	4	4	1	12
GMG	Schwarz(algebraic)	0	4	4	2	12
GMG	Schwarz(algebraic)	0	4	4	4	12
GMG	Schwarz(algebraic)	0	4	4	8	12
GMG	Schwarz(algebraic)	0	4	4	16	12
GMG	Schwarz(algebraic)	0	8	8	1	17
GMG	Schwarz(algebraic)	0	8	8	2	17
GMG	Schwarz(algebraic)	0	8	8	4	17
GMG	Schwarz(algebraic)	0	8	8	8	17
GMG	Schwarz(algebraic)	0	8	8	16	17
GMG	Schwarz(algebraic)	0	16	16	1	18
GMG	Schwarz(algebraic)	0	16	16	2	18
GMG	Schwarz(algebraic)	0	16	16	4	18
GMG	Schwarz(algebraic)	0	16	16	8	18
GMG	Schwarz(algebraic)	0	16	16	16	18
GMG	Schwarz(algebraic)	0	32	32	1	18
GMG	Schwarz(algebraic)	0	32	32	2	18
GMG	Schwarz(algebraic)	0	32	32	4	18
GMG	Schwarz(algebraic)	0	32	32	8	18
GMG	Schwarz(algebraic)	0	32	32	16	18
GMG	Schwarz(algebraic)	0	64	64	1	19
GMG	Schwarz(algebraic)	0	64	64	2	19
GMG	Schwarz(algebraic)	0	64	64	4	19
GMG	Schwarz(algebraic)	0	64	64	8	19
GMG	Schwarz(algebraic)	0	64	64	16	19
GMG	Schwarz(algebraic)	0	128	128	1	19
GMG	Schwarz(algebraic)	0	128	128	2	19
GMG	Schwarz(algebraic)	0	128	128	4	19
GMG	Schwarz(algebraic)	0	128	128	8	19
GMG	Schwarz(algebraic)	0	128	128	16	19
GMG	Schwarz(algebraic)	0	256	256	1	19
GMG	Schwarz(algebraic)	0	256	256	2	19
GMG	Schwarz(algebraic)	0	256	256	4	19
GMG	Schwarz(algebraic)	0	256	256	8	19
GMG	Schwarz(algebraic)	0	256	256	16	19
GMG	Schwarz(algebraic)	0	512	512	1	19
GMG	Schwarz(algebraic)	0	512	512	2	19
GMG	Schwarz(algebraic)	0	512	512	4	19
GMG	Schwarz(algebraic)	0	512	512	8	19
GMG	Schwarz(algebraic)	0	512	512	16	19
GMG	Schwarz(algebraic)	1	2	2	1	6
GMG	Schwarz(algebraic)	1	2	2	2	6
GMG	Schwarz(algebraic)	1	2	2	4	6
GMG	Schwarz(algebraic)	1	2	2	8	6
GMG	Schwarz(algebraic)	1	2	2	16	6
