Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations
Schwarz(geometric)	-	1	4	2	1	14
Schwarz(geometric)	-	1	4	2	2	15
Schwarz(geometric)	-	1	4	2	4	16
Schwarz(geometric)	-	1	16	4	1	39
Schwarz(geometric)	-	1	16	4	2	41
Schwarz(geometric)	-	1	16	4	4	43
Schwarz(geometric)	-	1	64	8	1	80
Schwarz(geometric)	-	1	64	8	2	81
Schwarz(geometric)	-	1	64	8	4	58
Schwarz(geometric)	-	1	256	16	1	163
Schwarz(geometric)	-	1	256	16	2	163
Schwarz(geometric)	-	1	256	16	4	103
Schwarz(geometric)	-	2	4	2	1	1
Schwarz(geometric)	-	2	4	2	2	1
Schwarz(geometric)	-	2	4	2	4	1
Schwarz(geometric)	-	2	16	4	1	25
Schwarz(geometric)	-	2	16	4	2	24
Schwarz(geometric)	-	2	16	4	4	18
Schwarz(geometric)	-	2	64	8	1	50
Schwarz(geometric)	-	2	64	8	2	51
Schwarz(geometric)	-	2	64	8	4	37
Schwarz(geometric)	-	2	256	16	1	101
Schwarz(geometric)	-	2	256	16	2	102
Schwarz(geometric)	-	2	256	16	4	64
