Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations	Solve_time
GMG	IfPack-Schwarz	0	8	2	0	48	0.835506
GMG	IfPack-Schwarz	0	64	4	0	125	1.32132
GMG	IfPack-Schwarz	0	512	8	0	233	4.23411
GMG	IfPack-Schwarz	0	4096	16	0	357	81.2545
GMG	IfPack-Schwarz	1	8	2	0	29	0.89031
GMG	IfPack-Schwarz	1	64	4	0	59	1.37618
GMG	IfPack-Schwarz	1	512	8	0	78	2.87619
GMG	IfPack-Schwarz	1	4096	16	0	92	40.35
GMG	Camellia-Schwarz	0	8	2	0	29	0.837676
GMG	Camellia-Schwarz	0	64	4	0	86	1.25518
GMG	Camellia-Schwarz	0	512	8	0	157	3.59011
GMG	Camellia-Schwarz	0	4096	16	0	247	64.4742
GMG	Camellia-Schwarz	1	8	2	0	16	0.911772
GMG	Camellia-Schwarz	1	64	4	0	40	1.51785
GMG	Camellia-Schwarz	1	512	8	0	62	2.87312
GMG	Camellia-Schwarz	1	4096	16	0	72	37.6979
GMG	Point-Gauss-Seidel	0	8	2	0	68	0.891184
GMG	Point-Gauss-Seidel	0	64	4	0	150	1.44359
GMG	Point-Gauss-Seidel	0	512	8	0	276	4.75907
GMG	Point-Gauss-Seidel	0	4096	16	0	398	87.6755
GMG	Point-Jacobi	0	8	2	0	45	0.8218
GMG	Point-Jacobi	0	64	4	0	139	1.35964
GMG	Point-Jacobi	0	512	8	0	240	4.30368
GMG	Point-Jacobi	0	4096	16	0	318	75.2584
