Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations	Solve_time
GMG	Schwarz(algebraic)	0	16	4	0	20	0.310536
GMG	Schwarz(algebraic)	0	64	8	0	21	0.514884
GMG	Schwarz(algebraic)	0	256	16	0	21	2.47054
GMG	Schwarz(algebraic)	0	1024	32	0	21	7.60539
GMG	Schwarz(algebraic)	0	4096	64	0	20	54.4935
GMG	Schwarz(algebraic)	1	16	4	0	29	0.389788
GMG	Schwarz(algebraic)	1	64	8	0	34	0.631504
GMG	Schwarz(algebraic)	1	256	16	0	35	2.74937
GMG	Schwarz(algebraic)	1	1024	32	0	36	9.8648
GMG	Schwarz(algebraic)	1	4096	64	0	36	79.9521
GMG	Schwarz(algebraic)	2	16	4	0	24	0.441152
GMG	Schwarz(algebraic)	2	64	8	0	37	0.74626
GMG	Schwarz(algebraic)	2	256	16	0	46	3.06967
GMG	Schwarz(algebraic)	2	1024	32	0	48	11.7044
GMG	Schwarz(algebraic)	2	4096	64	0	50	102.517
GMG	Schwarz(geometric)	0	16	4	0	23	0.354135
GMG	Schwarz(geometric)	0	64	8	0	25	0.567353
GMG	Schwarz(geometric)	0	256	16	0	26	2.57364
GMG	Schwarz(geometric)	0	1024	32	0	26	8.36347
GMG	Schwarz(geometric)	0	4096	64	0	26	64.2114
GMG	Schwarz(geometric)	1	16	4	0	24	0.408083
GMG	Schwarz(geometric)	1	64	8	0	34	0.666142
GMG	Schwarz(geometric)	1	256	16	0	38	2.827
GMG	Schwarz(geometric)	1	1024	32	0	39	10.3352
GMG	Schwarz(geometric)	1	4096	64	0	40	86.9043
GMG	Schwarz(geometric)	2	16	4	0	19	0.458441
GMG	Schwarz(geometric)	2	64	8	0	33	0.788509
GMG	Schwarz(geometric)	2	256	16	0	44	3.09157
GMG	Schwarz(geometric)	2	1024	32	0	51	12.2185
GMG	Schwarz(geometric)	2	4096	64	0	52	106.239
