Preconditioner	Smoother	Overlap	num_cells	mesh_width	k	Iterations	Solve_time
GMG	Schwarz(algebraic)	0	4	2	0	9	0.0951032
GMG	Schwarz(algebraic)	0	16	4	0	18	0.120927
GMG	Schwarz(algebraic)	0	64	8	0	20	0.180793
GMG	Schwarz(algebraic)	0	256	16	0	22	0.537671
GMG	Schwarz(algebraic)	0	1024	32	0	22	3.33822
GMG	Schwarz(algebraic)	1	4	2	0	9	0.111178
GMG	Schwarz(algebraic)	1	16	4	0	22	0.150001
GMG	Schwarz(algebraic)	1	64	8	0	32	0.23848
GMG	Schwarz(algebraic)	1	256	16	0	35	0.710019
GMG	Schwarz(algebraic)	1	1024	32	0	36	4.85244
GMG	Schwarz(algebraic)	2	4	2	0	2	0.105103
GMG	Schwarz(algebraic)	2	16	4	0	19	0.166275
GMG	Schwarz(algebraic)	2	64	8	0	27	0.258271
GMG	Schwarz(algebraic)	2	256	16	0	38	0.774948
GMG	Schwarz(algebraic)	2	1024	32	0	47	6.09319
GMG	Schwarz(geometric)	0	4	2	0	4	0.100175
GMG	Schwarz(geometric)	0	16	4	0	11	0.12201
GMG	Schwarz(geometric)	0	64	8	0	21	0.200337
GMG	Schwarz(geometric)	0	256	16	0	25	0.588607
GMG	Schwarz(geometric)	0	1024	32	0	27	3.91949
GMG	Schwarz(geometric)	1	4	2	0	3	0.107885
GMG	Schwarz(geometric)	1	16	4	0	12	0.142131
GMG	Schwarz(geometric)	1	64	8	0	21	0.221921
GMG	Schwarz(geometric)	1	256	16	0	28	0.651563
GMG	Schwarz(geometric)	1	1024	32	0	36	4.87316
GMG	Schwarz(geometric)	2	4	2	0	1	0.109725
GMG	Schwarz(geometric)	2	16	4	0	12	0.164035
GMG	Schwarz(geometric)	2	64	8	0	19	0.252852
GMG	Schwarz(geometric)	2	256	16	0	24	0.642442
GMG	Schwarz(geometric)	2	1024	32	0	37	4.99211
